Pclass,Age,Fare,Sex_male
1.0,0.2711736617240512,0.014151057562208049,1.0
0.0,0.4722292033174164,0.13913573538264068,0.0
1.0,0.32143754712239253,0.015468569817999833,0.0
0.0,0.4345312892686604,0.10364429745562033,0.0
1.0,0.4345312892686604,0.015712553569072387,1.0
1.0,0.34656948982156316,0.01650950209357577,1.0
0.0,0.6732847449107816,0.10122885832000206,1.0
1.0,0.01985423473234481,0.04113566043083236,1.0
1.0,0.33400351847197784,0.021730754366528396,0.0
0.5,0.17064589092736868,0.058694292654020104,0.0
1.0,0.04498617743151546,0.03259622914329302,0.0
0.0,0.723548630309123,0.051822148727810165,0.0
1.0,0.24604171902488062,0.015712553569072387,1.0
1.0,0.4847951746670017,0.06104473451835265,1.0
1.0,0.17064589092736868,0.015330377421392339,0.0
0.5,0.685850716260367,0.03122992013728673,0.0
1.0,0.01985423473234481,0.05684821399990475,1.0
0.5,0.34656948982156316,0.025374310111545468,1.0
1.0,0.38426740387031916,0.03513366015444757,0.0
1.0,0.34656948982156316,0.014102260811993537,0.0
0.5,0.4345312892686604,0.050748620223090936,1.0
0.5,0.4219653179190751,0.025374310111545468,1.0
1.0,0.18321186227695402,0.015671954672893913,0.0
0.0,0.34656948982156316,0.06929138530460494,1.0
1.0,0.09525006282985675,0.04113566043083236,0.0
1.0,0.4722292033174164,0.06126431989431795,0.0
1.0,0.34656948982156316,0.014102260811993537,1.0
0.0,0.2334757476752953,0.5133418122566507,1.0
1.0,0.34656948982156316,0.01537917417160685,0.0
1.0,0.34656948982156316,0.015411575213749286,1.0
0.0,0.49736114601658704,0.05410739813385612,1.0
0.0,0.34656948982156316,0.2859895551532101,0.0
1.0,0.34656948982156316,0.015126992566498259,0.0
0.5,0.8240764011058055,0.020494635090094415,1.0
0.0,0.34656948982156316,0.16038672010106003,1.0
0.0,0.5224930887157577,0.10149724044618187,1.0
1.0,0.34656948982156316,0.014110458666029575,1.0
1.0,0.2586076903744659,0.015712553569072387,1.0
1.0,0.22090977632571,0.03513366015444757,0.0
1.0,0.17064589092736868,0.021942337075458514,0.0
1.0,0.49736114601658704,0.018493968331299484,0.0
0.5,0.33400351847197784,0.04098927018018883,0.0
1.0,0.34656948982156316,0.015411575213749286,1.0
0.5,0.032420206081930136,0.08115719346076702,0.0
1.0,0.2334757476752953,0.01537917417160685,0.0
1.0,0.34656948982156316,0.015712553569072387,1.0
1.0,0.34656948982156316,0.030253985132996517,1.0
1.0,0.34656948982156316,0.015126992566498259,0.0
1.0,0.34656948982156316,0.04231498029001666,1.0
1.0,0.22090977632571,0.034743286152731485,0.0
1.0,0.08268409148027142,0.07746484096553544,1.0
1.0,0.2586076903744659,0.01522458606692728,1.0
0.0,0.610454888162855,0.1497654242623688,0.0
0.5,0.35913546117114853,0.050748620223090936,0.0
0.0,0.8115104297562202,0.1209753416358076,1.0
0.0,0.34656948982156316,0.06929138530460494,1.0
0.5,0.2586076903744659,0.020494635090094415,0.0
1.0,0.35285247549635584,0.014110458666029575,1.0
0.5,0.05755214878110078,0.05416439273810667,0.0
1.0,0.1329479768786127,0.09154270340242172,1.0
1.0,0.2711736617240512,0.014110458666029575,1.0
0.0,0.4722292033174164,0.15614960068643363,0.0
0.0,0.5601910027645137,0.16293234896625058,1.0
1.0,0.04498617743151546,0.05445717323939373,1.0
0.0,0.34656948982156316,0.05410739813385612,1.0
1.0,0.34656948982156316,0.029757819776815374,1.0
0.5,0.35913546117114853,0.020494635090094415,0.0
1.0,0.2334757476752953,0.015923941091001644,1.0
1.0,0.20834380497612465,0.015468569817999833,0.0
1.0,0.32143754712239253,0.016908073949327893,1.0
0.5,0.39683337521990447,0.020494635090094415,1.0
1.0,0.19577783362653933,0.09154270340242172,0.0
0.5,0.2586076903744659,0.1434624456306609,1.0
1.0,0.32143754712239253,0.028212719478023115,1.0
1.0,0.39683337521990447,0.11027245763075773,1.0
1.0,0.3088715757728072,0.014931805565640218,1.0
1.0,0.34656948982156316,0.015411575213749286,1.0
1.0,0.34656948982156316,0.015712553569072387,1.0
0.5,0.005152048253329982,0.056604230248832196,1.0
1.0,0.37170143252073384,0.024349578357040744,0.0
1.0,0.2711736617240512,0.017566830077223785,1.0
